id;nazwa;branza;model_leada;skala;obszar;strona_www;strona_franczyzy_rozwoju;strony_lokalne_status;centrala_oferuje_strony;email;telefon;decydent;stanowisko;linkedin_decydenta;zrodlo;krotkie_uzasadnienie;co_sprzedac;priorytet;powod_odrzucenia
19;Orient Massage + Thai Organic;beauty / masaże (2 marki);wiele marek / franczyza;32 salony (18 Orient Massage + 12 Thai Organic + po 2 wlasne), cel 50-60;ogólnopolska;brak danych;https://franchising.pl (wywiad);CZESCIOWO - Szczecin ma wlasna domene (orientmassage-szczecin.pl), Kielce tylko Booksy;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Martyna Buchalska;właścicielka / rozwój sieci;brak danych;orientmassage-szczecin.pl + booksy.com (Kielce) + franchising.pl;Weryfikacja: czesc franczyzobiorcow ma wlasne strony - potrzeba niepewna, policzyc ilu z 32;strona per salon pod frazy masaz orientalny/tajski + miasto;B;-
20;AMAKids;edukacja dzieci (arytmetyka mentalna);franczyza;387 oddzialow (dane wlasne) vs 225 lokalizacji (oddzial Lodz);Polska;https://amakids.pl;https://amakids.pl/franczyza-amakids;CZESCIOWO - czesc oddzialow ma wlasne domeny (amakidslodz.pl, amakidskatowice.pl) - liczby niespojne: 387 oddzialow vs 225 lokalizacji;NIE POTWIERDZONO;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;amakids.pl/franczyza-amakids + amakidslodz.pl;Weryfikacja: oddzialy buduja wlasne strony - potrzeba niepewna - najpierw ustalic realna liczbe;standard strony oddzialu (jesli wiekszosc nie ma wlasnych);B;-
21;Novisa Development;deweloper;deweloper;36 inwestycji w sprzedaży;Warszawa;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych (dział marketingu/sprzedaży);-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - 36 inwestycji = 36 potencjalnych landingów kampanijnych;landing per inwestycja + serwis po sprzedaży;A;-
22;Trust Investment;deweloper;deweloper;16 inwestycji w sprzedaży;Kielce;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - średni deweloper bez wewnętrznego webdevu;landing per inwestycja + obsługa zmian harmonogramów/cenników;A;-
23;EKOPARK;deweloper;deweloper;12 inwestycji;Kraków;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - 12 osiedli = 12 landingów sprzedażowych — szybkość wdrożenia kluczowa;landingi inwestycji + abonament serwisowy;A;-
24;Home Invest;deweloper;deweloper;11 inwestycji;Warszawa;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - powtarzalny model: nowa inwestycja = nowy landing;landing + kampania pod Meta/Google;A;-
25;BUD-RIM Development;deweloper;deweloper;10 inwestycji;Piaseczno/Chyliczki;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - domy w zabudowie szeregowej - osobne strony dla etapów/osiedli;strony etapów + obsługa techniczna;A;-
26;JDM Deweloper;deweloper;deweloper;10 inwestycji;Piaseczno;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - podwarszawski rynek = wysoka konkurencja o klienta;landingi inwestycji + Google Ads;A;-
27;Invest Komfort;deweloper;deweloper;27 inwestycji historycznie, ~3000 lokali;Trójmiasto;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;noweinwestycje.pl;POZA PROFILEM LOKALNYCH USLUG - deweloper premium - każda inwestycja jako osobny projekt sprzedażowy;landingi + serwis w abonamencie;A;-
28;Victoria Dom;deweloper;deweloper;14 inwestycji w sprzedaży, 1365 lokali w 2025;Warszawa;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;OnGeo, rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - wzrost sprzedaży +35% r/r = budżet marketingowy;landingi etapów i osiedli;A;-
29;Tree Development Group;deweloper;deweloper;9 inwestycji;Łódź;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - tańszy rynek - atrakcyjna cena 999-2000 zł za landing;strony inwestycji + aktualizacje;A;-
30;Grupa Moderator;deweloper;deweloper;8 inwestycji;Bydgoszcz;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - regionalny deweloper - pakiet stron inwestycji;strony inwestycji + obsługa treści;A;-
31;Budlex;deweloper;deweloper;7 inwestycji;Warszawa;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;rynekpierwotny.pl;POZA PROFILEM LOKALNYCH USLUG - strony pod etapy + aktualizacje;landingi + abonament 199-299 zł/mies;A;-
32;Grupa Biurowiec;zarządzanie nieruchomościami;zarządca nieruchomości;4473+ zarządzanych nieruchomości i lokali;Małopolska i Śląsk;https://grupabiurowiec.com.pl;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;grupabiurowiec.com.pl;POZA PROFILEM LOKALNYCH USLUG - skala osiedlowa bez lokalnej obecności online;strony dla wspólnot/budynków + SEO 'zarządca wspólnoty <miasto>';A;-
33;Status Nieruchomości;zarządzanie nieruchomościami;zarządca nieruchomości;500+ wspólnot obsłużonych (od 1999);Warszawa;https://status.pl;n/d;POTWIERDZONE - jedna strona firmowa, brak stron per nieruchomość;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych (właściciel/zarząd);właściciel/zarząd;brak danych;status.pl;POZA PROFILEM LOKALNYCH USLUG - 500 wspólnot = 500 potencjalnych landingów, brak konkurencji webdev na tym rynku;strony osiedli/wspólnot (20-50 szt.) + obsługa techniczna w abonamencie;A;-
34;Nawigator Nieruchomości;zarządzanie nieruchomościami;zarządca nieruchomości;250 wspólnot, 150+ pracowników;Polska;https://nawigator-nieruchomosci.pl;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel/zarząd;brak danych;nawigator-nieruchomosci.pl;POZA PROFILEM LOKALNYCH USLUG - 250 wspólnot = 250 lokalnych stron — duże zaplecze operacyjne = budżet na wdrożenia;portal mieszkańca + strony wspólnot + abonament;A;-
35;Avente;zarządzanie nieruchomościami;zarządca nieruchomości;140 wspólnot, 11 specjalistów, 20 lat;Zabrze / Śląsk;https://avente.pl;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;telefony na stronie;brak danych;właściciel;brak danych;avente.pl;POZA PROFILEM LOKALNYCH USLUG - mała firma z dużą liczbą obiektów i zerowym webdevem - bardzo realny klient;strony osiedli + SEO lokalne + abonament 199-299 zł/mies;A;-
36;Ga-Mi II Zarządzanie Nieruchomościami;zarządzanie nieruchomościami;zarządca nieruchomości;160+ wspólnot;Wrocław;brak danych;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;starofservice.pl;POZA PROFILEM LOKALNYCH USLUG - drugi rynek (Wrocław) do przeniesienia tego samego szablonu;strony wspólnot + SEO lokalne;A;-
37;ZNDOM Zarządzanie Nieruchomościami;zarządzanie nieruchomościami;zarządca nieruchomości;140+ wspólnot i lokale użytkowe;Warszawa Śródmieście;https://www.zndom.pl;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel/zarząd;brak danych;zndom.pl;POZA PROFILEM LOKALNYCH USLUG - kamienice w Śródmieściu = duża konkurencja o mieszkańca i wspólnotę;strony budynków (remonty, uchwały) + SEO 'administrator kamienicy Warszawa';A;-
38;Sekro Nieruchomości;zarządzanie nieruchomościami;zarządca nieruchomości;#1 w rankingu zarządców;Warszawa;brak danych;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;prawnikwewspolnocie.pl;POZA PROFILEM LOKALNYCH USLUG - wysoka ocena = nowe wspólnoty z polecenia, potrzebne strony dla nowych budynków;strony wspólnot + panel informacyjny;A;-
39;nKrak Zarządzanie Nieruchomościami;zarządzanie nieruchomościami;zarządca nieruchomości;top 3 rankingu;Kraków;brak danych;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;prawnikwewspolnocie.pl;POZA PROFILEM LOKALNYCH USLUG - rosnące osiedla w Krakowie;strony wspólnot + SEO lokalne;A;-
40;JMK Kosmaczewscy Nieruchomości;zarządzanie nieruchomościami;zarządca nieruchomości;top 5 rankingu;Poznań;brak danych;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;prawnikwewspolnocie.pl;POZA PROFILEM LOKALNYCH USLUG - aktywna baza klientów (47 ocen);strony wspólnot + komunikacja z mieszkańcami;A;-
41;Parvis / Egendom;zarządzanie nieruchomościami;zarządca nieruchomości;top 8 rankingu;Wrocław;brak danych;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;prawnikwewspolnocie.pl;POZA PROFILEM LOKALNYCH USLUG - dwóch zarządców z identyczną potrzebą - druga wersja szablonu;strony wspólnot + SEO lokalne;A;-
42;ADMIN Nieruchomości / Janasowie / Graden;zarządzanie nieruchomościami;zarządca nieruchomości;DO POTWIERDZENIA (rankingi regionalne);Toruń/Lublin;brak danych;n/d;POTWIERDZONE - jedna strona firmowa;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;właściciel;brak danych;prawnikwewspolnocie.pl;POZA PROFILEM LOKALNYCH USLUG - trzy firmy z tym samym pakietem potrzeb - wysoka powtarzalność sprzedaży;strony wspólnot + abonament;A;-
43;Grupa Cichy-Zasada;motoryzacja / dealer;grupa dealerska / wiele marek;32+ salonów, 11 miast, 7 marek, 54 autoryzacje serwisowe;ogólnopolska;https://cichy-zasada.pl;n/d;DO WERYFIKACJI - markowe salony często na platformach producenta;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych (dział marketingu centrali);-;brak danych;cichy-zasada.pl, businessinsider.com.pl;POZA PROFILEM LOKALNYCH USLUG - największa grupa dealerska w PL - landingi per salon/marka/serwis;landingi lokalne + strony usług serwisowych;A;RYZYKO: platformy OEM i własny marketing
44;Grupa Plichta;motoryzacja / dealer;grupa dealerska / wiele marek;25 salonów, 10 marek;Pomorze;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;moto3m.pl;POZA PROFILEM LOKALNYCH USLUG - 25 salonów = 25 stron lokalnych + strony usług serwisowych;strony salonów i serwisów w SEO lokalnym;A;RYZYKO: platformy OEM
45;Grupa Bemo;motoryzacja / dealer;grupa dealerska / wiele marek;17 salonów w 7 miastach;Warszawa/Łódź/Szczecin/Rzeszów/Poznań/Koszalin;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;samochody.pl;POZA PROFILEM LOKALNYCH USLUG - multi-brand - naturalne strony per marka i lokalizacja;strony per marka/lokalizacja;A;RYZYKO: platformy OEM
46;Grupa PTH / Auto Spektrum / Grupa Lellek;motoryzacja / dealer;grupa dealerska / wiele marek;17 / 14 / 16 salonów;kraj/regionalnie;brak danych;n/d;DO WERYFIKACJI;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;s-trojmiasto.pl (lista TOP50 2024);POZA PROFILEM LOKALNYCH USLUG - trzy grupy z 14-17 salonami - ten sam pakiet per salon;sprzedaż pakietu wdrożeń dla każdej grupy;A;RYZYKO: platformy OEM
47;PROFIT system;konsulting franczyzowy;kanał partnerski / freelancer-konsultant;300+ opracowanych konceptów franczyzowych, 26 krajów;Polska + międzynarodowa;https://profitsystem.pl;n/d;n/d - nie tworzą stron;NIE DOTYCZY;bok@profitsystem.pl;+48 22 560 80 20;Michał Wiśniewski;prezes PROFIT system;brak danych (company: LinkedIn PROFIT system);profitsystem.pl + franchising.pl;POZA PROFILEM LOKALNYCH USLUG - wejście jako domyślny wykonawca stron dla setek nowych sieci franczyzowych;umowa partnerska/referencyjna, pakiet 'gotowy zestaw stron dla nowego systemu franczyzowego';A;-
48;ARSS (Akademia Rozwoju Systemów Sieciowych);konsulting franczyzowy + media;kanał partnerski / konsultant;200+ opracowanych ofert franczyzowych, 20+ lat;ogólnopolska;https://www.arss.com.pl;n/d;n/d - nie tworzą stron;NIE DOTYCZY;biuro@arss.com.pl;604 939 960;brak nazwiska w źródle (do ustalenia przez LinkedIn);-;brak danych;arss.com.pl;POZA PROFILEM LOKALNYCH USLUG - wejście jako partner wykonawczy dla klientów-franczyzodawców + portal branżowy;umowa partnerska + pakiety stron dla nowych sieci;A;-
49;Semgence;marketing / agencja SEO-PPC;agencja (white-label);20+ partnerów agencyjnych, od 2006;Polska;https://www.semgence.pl;https://www.semgence.pl/white-label-seo/;n/d - nie tworzą stron (na podstawie oferty);NIE DOTYCZY;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;semgence.pl;POZA PROFILEM LOKALNYCH USLUG - Odwrotny model white-label: sprzedają SEO/PPC pod marką agencji;white-label web development dla ich klientów lokalnych;A;-
50;SEOGods / Sunrise System / Funkymedia / iCEA Group;marketing / agencje SEO lokalne;agencje (SEO lokalne);brak danych o skali (zestawienie widoczni.com 2026);Polska;brak danych;n/d;DO WERYFIKACJI - czy mają własny webdev;NIE POTWIERDZONO;brak publicznych e-maili w źródle;brak publicznych telefonów;brak danych;-;brak danych;widoczni.com - zestawienie agencji lokalnego SEO 2026;POZA PROFILEM LOKALNYCH USLUG - Jeśli nie robią stron, kupią white-label webdev pod swoich klientów lokalnych;white-label web development;A;-
51;Szybex;szyby samochodowe (serwis);siec wlasnych oddzialow + siec partnerska;12-15 oddzialow wlasnych + ogolnopolska siec zaufanych Partnerow (200+ punktow, m.in. Pilkington Team Partner);Polska (Czestochowa, Lodz, Warszawa x3, Katowice, Kielce, Radom i in.);https://szybex.pl;https://szybex.pl/kontakt/;BRAK podstron per oddzial - jedna strona kontaktowa z lista oddzialow (telefony, maile, POKAZ NA MAPIE);NIE POTWIERDZONO;brak publicznego e-maila (maile per oddzial, np. radom@szybex.pl);34 50 65 100;brak danych;-;brak danych;szybex.pl/kontakt/ + markoweszyby.pl (lista partnerow Pilkington);Weryfikacja: oddzialy istnieja tylko jako lista na stronie kontaktowej - siec 200+ partnerow bez stron lokalnych;strony per oddzial (wymiana szyb [miasto]) + program stron dla partnerow sieci;A;-
